expression	#1185
cells	#535
cancer	#228
role	#176
expressed	#173
associated	#167
overexpressed	#159
line	#149
lines	#143
levels	#123
increased	#112
tumors	#100
pathway	#90
activity	#88
overexpression	#87
activation	#81
effects	#80
effect	#74
induces	#71
induced	#68
receptor	#67
promotes	#65
gene	#62
inhibition	#61
carcinoma	#57
mutations	#55
up-regulated	#54
factor	#54
genes	#53
inhibits	#52
upregulated	#51
observed	#51
detected	#50
apoptosis	#49
cancers	#47
transfected	#47
regulation	#47
sensitizes	#46
found	#46
inhibited	#43
signaling	#43
protein	#42
correlated	#42
induction	#42
target	#41
patients	#41
play	#40
production	#38
regulates	#37
decreased	#36
resistance	#35
treatment	#34
carcinomas	#34
express	#34
involved	#33
antigen	#33
level	#33
downregulated	#32
down-regulated	#32
growth	#32
plays	#31
suppresses	#30
analyzed	#30
inhibitor	#30
analysis	#29
up-regulation	#29
knockdown	#29
function	#29
identified	#29
inhibit	#28
examined	#28
studied	#28
phosphorylation	#27
down-regulation	#27
mutation	#27
positive	#27
cancer-1	#25
silencing	#25
reduced	#25
regulated	#24
mrna	#24
migration	#24
elevated	#23
significance	#23
induce	#23
interaction	#23
downregulation	#23
transcription	#23
enhances	#23
targeting	#23
determined	#22
influence	#22
investigated	#22
impact	#22
model	#22
targets	#22
activated	#22
association	#22
increase	#21
suppressed	#21
protects	#21
treated	#21
loss	#21
demonstrated	#21
correlation	#20
localization	#20
results	#20
suppression	#20
study	#20
enhanced	#20
assessed	#20
exhibited	#20
inactivation	#19
modulate	#19
marker	#19
xenografts	#19
relationship	#19
presence	#19
regulate	#18
pathways	#18
status	#18
carcinogenesis	#17
detection	#17
alterations	#17
ligand	#17
proliferation	#17
death	#17
roles	#16
markers	#16
stimulates	#16
upregulation	#16
using	#16
kinase	#16
hct116	#16
response	#16
secretion	#15
progression	#15
transfection	#15
interactions	#15
evaluated	#15
sensitivity	#15
contributes	#14
occurs	#14
activate	#14
stimulation	#14
over-expressed	#14
expressions	#14
risk	#14
adhesion	#14
binding	#14
samples	#14
mechanism	#13
pattern	#13
protect	#13
promoter	#13
involvement	#13
sensitize	#13
activates	#13
over-expression	#13
functions	#12
degradation	#12
acts	#12
promote	#12
therapy	#12
proteins	#12
suppressor	#12
action	#12
lower	#12
adenocarcinoma	#12
mutated	#12
breast	#12
seen	#12
modulation	#12
event	#12
transduction	#11
synthesis	#11
activities	#11
methylation	#11
inactivated	#11
contribute	#11
stained	#11
polymorphism	#11
development	#11
factors	#11
candidates	#10
release	#10
inhibitors	#10
accumulation	#10
correlations	#10
resulted	#10
correlates	#10
re-expression	#10
confirmed	#10
performed	#10
regulator	#10
caused	#10
receptors	#10
value	#10
mediated	#10
cell	#9
depletion	#9
rates	#9
increases	#9
reported	#9
arrest	#9
survival	#9
modulates	#9
methylated	#9
revealed	#9
silenced	#9
implicated	#9
variant	#9
inhibiting	#9
sw480	#9
,	#8
invasion	#8
sensitized	#8
forms	#8
molecule	#8
restoration	#8
potential	#8
transfer	#8
bind	#8
sites	#8
patterns	#8
related	#8
rate	#8
variants	#8
report	#8
biomarkers	#8
hct-116	#8
knocked	#8
common	#8
antibody	#8
biomarker	#8
%	#7
concentrations	#7
synthase	#7
system	#7
downregulates	#7
influences	#7
phenotype	#7
resistant	#7
measured	#7
introduction	#7
investigation	#7
evaluation	#7
essential	#7
importance	#7
oncogenes	#7
interacts	#7
altered	#7
accompanied	#7
differentiation	#7
repeat	#7
tissues	#7
mutant	#7
expressing	#7
changes	#7
blocked	#7
reduces	#7
established	#7
profiles	#7
frequent	#7
protected	#6
absent	#6
contributed	#6
applied	#6
anti-inflammatory	#6
distinguished	#6
up-regulates	#6
strategy	#6
exerted	#6
suppress	#6
tumor	#6
develop	#6
conclusion	#6
disease	#6
wild-type	#6
required	#6
differences	#6
localized	#6
display	#6
shown	#6
concentration	#6
incubated	#6
isoforms	#6
content	#6
affects	#6
sensitive	#6
lung	#6
screened	#6
disruption	#6
predicts	#6
demonstrate	#6
region	#6
characteristics	#6
polymorphisms	#6
lost	#6
dependent	#6
signature	#6
staining	#6
mechanisms	#6
studies	#6
mediates	#6
predispose	#5
triggers	#5
cultured	#5
decreases	#5
screening	#5
co-expressed	#5
useful	#5
identify	#5
oncogene	#5
approach	#5
relevance	#5
prevents	#5
34be12	#5
influenced	#5
represents	#5
peptide	#5
amplification	#5
actions	#5
antagonist	#5
decrease	#5
mice	#5
potentiated	#5
enhance	#5
decarboxylase	#5
estimated	#5
deletion	#5
ht-29	#5
incubation	#5
combination	#5
uptake	#5
produced	#5
patient	#5
reduction	#5
complex	#5
sensitization	#5
contain	#5
deleted	#5
stage	#5
antibodies	#5
mediator	#5
ligands	#5
mediate	#5
reductase	#5
xenograft	#5
able	#5
recognition	#5
alter	#5
regulating	#5
signalling	#5
exhibit	#5
binds	#5
frequency	#5
resection	#5
tested	#5
distribution	#5
include	#5
drug	#5
repression	#5
down-regulate	#5
fibroblasts	#4
carriers	#4
independent	#4
estimating	#4
ht29	#4
density	#4
v	#4
homolog	#4
lack	#4
prevent	#4
responded	#4
impairs	#4
knock-down	#4
hypermethylation	#4
implication	#4
similar	#4
analyze	#4
indicated	#4
infected	#4
implications	#4
produce	#4
links	#4
affected	#4
susceptibility	#4
represses	#4
respond	#4
cleavage	#4
defined	#4
models	#4
degraded	#4
rendered	#4
deregulated	#4
combining	#4
stability	#4
tissue	#4
utilized	#4
attenuates	#4
low	#4
indicator	#4
percentage	#4
transfecting	#4
candidate	#4
active	#4
domain	#4
exerts	#4
affect	#4
indicate	#4
compared	#4
