expression	#655
role	#119
expressed	#115
cells	#110
factor	#80
cancer	#73
levels	#71
associated	#57
overexpression	#54
receptor	#46
overexpressed	#45
expressions	#40
patients	#40
mutations	#36
detected	#34
effects	#34
positive	#30
significance	#29
found	#29
correlated	#29
status	#29
analyzed	#29
play	#28
lines	#27
gene	#27
tumors	#27
line	#27
carcinoma	#25
target	#25
effect	#25
association	#25
induces	#24
marker	#23
observed	#23
express	#23
value	#23
activation	#22
genes	#22
increased	#22
results	#21
activity	#21
analysis	#20
level	#20
correlation	#19
plays	#19
transfected	#18
involved	#18
polymorphism	#18
decreased	#17
cancers	#17
function	#17
carcinomas	#17
signaling	#17
assessed	#16
methylation	#15
examined	#15
reduced	#15
factors	#15
growth	#15
markers	#14
upregulated	#14
promotes	#14
inhibited	#14
elevated	#13
pathway	#13
induced	#13
related	#13
enhanced	#13
inhibition	#13
event	#13
targeting	#13
invasion	#12
relevance	#12
mutation	#12
protein	#12
detection	#12
identified	#12
determined	#12
therapy	#12
biomarkers	#12
down-regulated	#12
regulation	#12
loss	#12
inhibitor	#12
frequent	#12
sensitizes	#11
up-regulated	#11
suppression	#11
rate	#11
immunoexpression	#11
enhances	#11
polymorphisms	#11
secretion	#10
stimulates	#10
inhibits	#10
evaluated	#10
regulates	#10
pathways	#10
demonstrated	#10
downregulated	#9
increases	#9
performed	#9
investigated	#9
treatment	#9
targets	#9
induction	#9
mrna	#9
relationship	#9
receptors	#9
studied	#9
analysed	#8
down-regulation	#8
reported	#8
decrease	#8
study	#8
hyperstimulation	#8
downregulation	#8
alterations	#8
breast	#8
common	#8
mechanism	#7
over-expressed	#7
correlates	#7
p53	#7
influence	#7
shown	#7
contribute	#7
increase	#7
involvement	#7
importance	#7
methylated	#7
lower	#7
protects	#7
frequency	#7
presence	#7
sensitivity	#7
suggest	#7
phosphorylation	#6
a	#6
useful	#6
roles	#6
immunostained	#6
rates	#6
upregulation	#6
amplification	#6
induce	#6
neoplasms	#6
secrete	#6
conclusions	#6
potential	#6
regulated	#6
brca1	#6
revealed	#6
predicts	#6
suppressed	#6
implicated	#6
seen	#6
treated	#6
positivity	#6
distribution	#6
biomarker	#6
predictor	#6
response	#6
functions	#5
introduced	#5
%	#5
concentrations	#5
production	#5
localization	#5
implications	#5
promote	#5
tumor	#5
resistant	#5
risk	#5
pattern	#5
described	#5
evaluation	#5
profile	#5
impact	#5
suppressor	#5
model	#5
activates	#5
suppresses	#5
activated	#5
expressing	#5
changes	#5
detect	#5
constitute	#5
isolated	#5
up-regulation	#4
overexpress	#4
evidence	#4
tumours	#4
contributes	#4
co-expressed	#4
metalloproteinases-9	#4
identify	#4
oncogene	#4
drives	#4
complication	#4
acts	#4
abundant	#4
adenocarcinomas	#4
difference	#4
inhibit	#4
antagonist	#4
stronger	#4
restricted	#4
regulate	#4
differences	#4
confirmed	#4
prevalent	#4
correlate	#4
investigation	#4
promoted	#4
proteins	#4
indicate	#4
compared	#4
skg-1	#4
patterns	#4
sensitize	#4
antigen	#4
altered	#4
included	#4
ratio	#4
region	#4
sub-population	#4
enriched	#4
resistance	#4
over-expression	#4
inactivation	#3
epitope	#3
immunoreactive	#3
release	#3
hypermethylation	#3
inhibitors	#3
activate	#3
stimulation	#3
strategy	#3
determinant	#3
events	#3
displayed	#3
using	#3
molecule	#3
suppress	#3
negative	#3
re-expression	#3
measured	#3
eradication	#3
unknown	#3
protooncogene	#3
display	#3
arrest	#3
modulates	#3
patient	#3
concentration	#3
promoter	#3
profiling	#3
stained	#3
affect	#3
characteristic	#3
coactivator	#3
contain	#3
deleted	#3
represent	#3
affects	#3
mgmt	#3
form	#3
explain	#3
relationships	#3
interacted	#3
index	#3
cdh17	#3
characterized	#3
report	#3
estrogen	#3
co-activation	#3
down-regulates	#3
alter	#3
diagnosis	#3
focused	#3
apoptosis	#3
appears	#3
benefit	#3
eralpha	#3
bsp	#3
enzymes	#3
patients.p19	#3
adhesion	#3
appear	#3
cd44	#3
abolished	#3
antigens	#3
relation	#3
subtypes	#3
slc45a3	#3
method	#3
susceptible	#3
responses	#3
reveal	#3
consequences	#3
factor-beta	#3
studies	#3
mediates	#3
approved	#2
amplifications	#2
possess	#2
indicators	#2
1,3-l-fucosyltransferase	#2
mediators	#2
cultured	#2
utility	#2
linked	#2
rationale	#2
emerge	#2
characterization	#2
acid	#2
analyses	#2
assessment	#2
discrimination	#2
predicted	#2
repressors	#2
egfr	#2
responsible	#2
coexpressed	#2
refractory	#2
considered	#2
approach	#2
factor-c	#2
similar	#2
angiogenesis	#2
restriction	#2
prevalence	#2
produce	#2
immunoreactivity	#2
depletion	#2
stimulated	#2
degradation	#2
trial	#2
carcinogenesis	#2
comparison	#2
rna	#2
amplified	#2
progression	#2
influences	#2
hypothesis	#2
melanoma	#2
a/c	#2
p-glycoprotein	#2
phenotype	#2
ncor	#2
resulted	#2
preserved	#2
atm	#2
transfect	#2
imaging	#2
p21	#2
overlap	#2
metalloproteinase-9	#2
parameters	#2
absence	#2
derived	#2
enhance	#2
demonstrable	#2
estimated	#2
unmethylated	#2
genotyped	#2
time	#2
reducing	#2
tissue	#2
deletion	#2
differentiates	#2
promising	#2
comprising	#2
gpcr	#2
immunolocalized	#2
attenuated	#2
metastasis	#2
low	#2
protect	#2
chain	#2
incubation	#2
incidence	#2
transfection	#2
oligopyridines	#2
percentage	#2
stimulate	#2
transfer	#2
